CountryID,CountryName,1_1_PERSONAL_DATA_CITIZENS,2_1_TREATY_185,2_2_TREATY_189,2_3_TREATY_224,6_1_INSURANCE_ICT_INCIDENTS,7_1_ISO_22301_2019,7_2_NUMBER_ENTERPRISES,16_1_AWARENESS_REPORT_INCIDENT,16_2_CHANGED_USAGE,16_3_VW_W_INFORMED,19_1_FIRST_TEAMS,19_2_POPULATION,20_1_STRONG_PASSWORD,20_2_SOFTWARE_UPTODATE,20_3_USER_AUTHENTICATION,20_4_ENCRYPTION_TECHNIQUES,20_5_DATA_BACKUP,20_6_NETWORK_ACCESS_CONTROL,20_7_VPN,20_8_LOG_FILES,20_9_SECURITY_TESTS,21_1_DOCUMENTS_SECURITY,22_1_STAFF_AWARENESS,23_1_UNAVAILABITY_ALL,24_1_DESTRUCTION_CORRUPTION_ALL,25_1_DISCLOSURE_ALL,26_1_UNAVAILABITY_SME,27_1_DESTRUCTION_CORRUPTION_SME,28_1_DISCLOSURE_SME,29_1_TRAINING_AWARENESS,29_2_MANAGEMENT_INFORMED,29_3_EMPLOYEES_INFORMED,3_1_ENTERPRISES_RISK_ASSESMENT,10_1_ISO_27001_2013,10_2_NUMBER_ENTERPRISES,8_1_ISO_28000_2007,8_2_NUMBER_ENTERPRISES,9_1_SUPPLY_CHAIN_THREAT,17_1_INSURANCE_ICT_INCIDENTS_SURVEYED,18_1_CS_INVESTMENTS_SURVEYED,4_1_CS_GRADUATES,4_2_POPULATION,12_1_EECC_CASES,12_2_POPULATION,14_1_eTRUST_CASES,14_2_POPULATION,13_1_EECC_DURATION,13_2_POPULATION,15_1_eTRUST_DURATION,15_2_POPULATION,11_1_OES_CASES,11_2_POPULATION,36_1_CIIP_PRIORITY,37_1_EU_DIRECTIVES,38_1_CS_LEGISLATION,39_1_GDPR_CASES,39_2_POPULATION,40_1_CS_IN_NRA,41_1_CS_PRIMARY_SECOND_EDUCATION,42_1_CS_EXERCISES,43_1_CS_MONITORING,44_1_CS_INTERNATIONAL_ARENA,46_1_CRISIS_RESPONSE,47_1_CS_TRAININGS,47_2_POPULATION,48_1_CYBERCRIME_READINESS,49_1_COVERAGE_OBJECTIVES_NCSS,50_1_TREATS_NRA,52_1_CS_R&D,53_1_GDPR_SHARE,35_1_CS_BASELINE_OES,35_2_CS_BASELINE_OES,45_1_OES_ISAC,51_1_BUSINESS_CONTINUITY_ENTITIES
AT,Austria,76,100,15,15,18,18,331145,34,93,53,7,8978929,66,82,9,46,88,54,41,48,32,36,63,9,5,2,9,5,2,29,82,67,28,163,331145,,331145,90.63,46.88,6.98,233,8978929,6,8978929,10,8978929,91,8978929,24,8978929,49,8978929,6.292735043,1,7,1,8.978929,100,0.5,1,6,5,0.5,0,8.978929,0.25,All objectives above are covered in the current NCSS,6,0.5,2,Yes,Not willing to share this information,0.4,0.3
BE,Belgium,60,100,15,15,25,3,673629,29,99,46,6,11631136,74,87,10,29,80,75,54,55,47,34,57,20,6,2,20,6,2,24,71,52,43,221,673629,1,673629,96.88,50,6,48,11631136,4,11631136,0,11631136,81,11631136,0,11631136,11,11631136,2.714285714,1,7,3,11.631136,100,0,15,6,5.5,9.2,30,11.631136,0.75,1. Develop national cyber contingency plans; 2. Establish baseline security measures; 3. Secure digital identity and build trust in digital public services; 4.  Establish an incident response capability; 5.  Raise user awareness; 6.  Organise cyber security exercises; 7.  Strengthen training and educational programmes; 8.  Foster R&D; 9.  Provide incentives for the private sector to invest in security measures; 10.  Improve the cybersecurity of the supply chain; 11.  Protect critical information infrastructure; 12. Address cybercrime; 13.  Establish incident reporting mechanisms; 14.  Balance security with privacy; 15.  Establish a public-private partnership (PPP); 16.  Institutionalise cooperation between public agencies; 17.  Engage in international cooperation (not only with EU MS); All objectives above are covered in the current NCSS,6,5.571428571,0,Yes,81-100%,0.4,0
BG,Bulgaria,47,100,0,15,3,6,348667,19,90,30,0,6838937,72,74,4,33,51,51,22,23,23,18,51,13,7,1,12,7,1,12,66,52,23,404,348667,7,348667,90.63,3.13,5.5,30,6838937,5,6838937,0,6838937,564,6838937,0,6838937,2,6838937,,,,,6.838937,,,,,,,,6.838937,,,,,,,,,
HR,Croatia,69,100,100,0,7,3,182394,30,96,39,2,3879074,67,84,8,34,78,60,39,33,27,41,47,16,6,2,16,6,2,20,68,60,24,207,182394,,182394,84.38,25,5.17,0,3879074,3,3879074,0,3879074,36,3879074,0,3879074,12,3879074,,,,,3.879074,,,,,,,,3.879074,,,,,,,,,
CY,Cyprus,68,100,100,0,13,6,57848,24,91,49,2,904705,68,79,7,35,69,56,37,43,37,32,59,8,7,2,8,7,2,21,71,61,35,67,57848,,57848,87.1,6.45,6.67,49,904705,6,904705,0,904705,45.5,904705,0,904705,4,904705,2.714285714,1,0,0,0.904705,100,0.337811068,6,6,15,3,13,0.904705,15,1. Develop national cyber contingency plans; 2. Establish baseline security measures; 4.  Establish an incident response capability; 5.  Raise user awareness; 6.  Organise cyber security exercises; 7.  Strengthen training and educational programmes; 8.  Foster R&D; 9.  Provide incentives for the private sector to invest in security measures; 11.  Protect critical information infrastructure; 12. Address cybercrime; 13.  Establish incident reporting mechanisms; 14.  Balance security with privacy; 15.  Establish a public-private partnership (PPP); 16.  Institutionalise cooperation between public agencies; 17.  Engage in international cooperation (not only with EU MS),1,0.5,20,Yes,Not willing to share this information,0.2,0.3
CZ,Czechia,74,100,100,0,8,2,1058776,24,98,45,8,10516707,86,89,11,36,82,61,49,40,39,32,76,17,9,1,16,9,1,15,79,62,37,605,1058776,,1058776,100,43.75,6.46,94,10516707,2,10516707,1,10516707,7,10516707,3,10516707,5,10516707,5.538461538,0.333333333,7,0,10.516707,100,0,15,6,14.5,2.666666667,34118,10.516707,2.714285714,1. Develop national cyber contingency plans;2. Establish baseline security measures;3. Secure digital identity and build trust in digital public services;4.  Establish an incident response capability;5.  Raise user awareness;6.  Organise cyber security exercises;7.  Strengthen training and educational programmes;8.  Foster R&D;9.  Provide incentives for the private sector to invest in security measures;10.  Improve the cybersecurity of the supply chain;11.  Protect critical information infrastructure;12. Address cybercrime;13.  Establish incident reporting mechanisms;15.  Establish a public-private partnership (PPP);16.  Institutionalise cooperation between public agencies;17.  Engage in international cooperation (not only with EU MS),1,5.142857143,11,No,,0.2,0
DK,Denmark,82,100,100,0,56,3,228443,14,93,80,6,5873420,83,88,12,54,85,85,62,60,49,56,70,7,4,3,6,4,3,18,77,51,49,136,228443,2,228443,93.55,22.58,5.63,0,5873420,6,5873420,0,5873420,94.5,5873420,0,5873420,3,5873420,,,,,5.87342,,,,,,,,5.87342,,,,,,,,,
EE,Estonia,64,100,15,15,7,,82263,24,91,57,2,1331796,61,71,7,29,64,59,39,35,28,27,55,6,3,3,5,3,3,24,85,75,23,22,82263,,82263,81.25,15.63,5.95,48,1331796,1,1331796,2,1331796,2,1331796,87,1331796,5,1331796,13.75,1,7,0,1.331796,100,1,15,6,11.25,15,63,1.331796,15,1. Develop national cyber contingency plans; 2. Establish baseline security measures; 3. Secure digital identity and build trust in digital public services; 4.  Establish an incident response capability; 5.  Raise user awareness; 6.  Organise cyber security exercises; 7.  Strengthen training and educational programmes; 8.  Foster R&D; 9.  Provide incentives for the private sector to invest in security measures; 10.  Improve the cybersecurity of the supply chain; 11.  Protect critical information infrastructure; 12. Address cybercrime; 13.  Establish incident reporting mechanisms; 14.  Balance security with privacy; 15.  Establish a public-private partnership (PPP); 16.  Institutionalise cooperation between public agencies; 17.  Engage in international cooperation (not only with EU MS); All objectives above are covered in the current NCSS,10,15,0,Yes,81-100%,0,1
FI,Finland,88,100,100,15,28,3,232791,34,91,68,3,5548241,91,94,17,57,83,77,54,49,44,44,66,13,5,4,13,5,4,22,72,55,60,114,232791,,232791,90.32,45.16,6.67,281,5548241,7,5548241,2,5548241,41,5548241,0,5548241,14,5548241,5.538461538,1,6,0,5.548241,100,1,6,6,2.6,2.333333333,0,5.548241,0.5,1. Develop national cyber contingency plans; 2. Establish baseline security measures; 3. Secure digital identity and build trust in digital public services; 4.  Establish an incident response capability; 5.  Raise user awareness; 6.  Organise cyber security exercises; 7.  Strengthen training and educational programmes; 8.  Foster R&D; 9.  Provide incentives for the private sector to invest in security measures; 10.  Improve the cybersecurity of the supply chain; 11.  Protect critical information infrastructure; 12. Address cybercrime; 13.  Establish incident reporting mechanisms; 14.  Balance security with privacy; 15.  Establish a public-private partnership (PPP); 16.  Institutionalise cooperation between public agencies; 17.  Engage in international cooperation (not only with EU MS),3,2.666666667,0,Yes,Not willing to share this information,0.4,0
FR,France,71,100,100,0,39,53,2968182,17,93,52,23,67842582,70,86,6,22,68,69,45,43,35,26,55,12,6,2,11,6,2,9,66,47,33,1225,2968182,4,2968182,96.77,48.39,6,200,67842582,0,67842582,2,67842582,0,67842582,87,67842582,32,67842582,12.18589744,1,7,,67.842582,100,,15,1,15,9.733333333,,67.842582,2.5,All objectives above are covered in the current NCSS,8,6.038095238,,Yes,Not willing to share this information,0.2,0
DE,Germany (until 1990 former territory of the FRG),63,100,100,0,20,42,2592680,20,94,56,37,83237124,84,95,11,59,89,71,56,59,39,37,68,8,5,1,8,5,1,27,72,53,34,2095,2592680,48,2592680,96.77,45.16,6,20,83237124,42,83237124,0,83237124,6264.2,83237124,0,83237124,410,83237124,4.846153846,0.333333333,7,0,83.237124,100,0,1,6,0.75,2,0,83.237124,0.5,All objectives above are covered in the current NCSS,0,5.571428571,0,Yes,Not willing to share this information,0.2,0.3
